VILLCODE,CODE1,COUNTY,TOWN,VILLAGE,household_no,factory_count,store_count,school_count,monthly_water_usage,hospital_count,people_total,yyyymm_key,lon,lat,predicted_water_usage,actual_predicted_ratio,cluster
A6510-038-00,A6510-28-001,新北市,淡水區,北新里,170,0.0,1.0,0.0,21365.0,0.0,313,201604,121.45364381883121,25.17710830864942,5246.20159654525,4.072470263832287,5
A6510-038-00,A6510-28-002,新北市,淡水區,北新里,126,0.0,2.0,0.0,16558.0,0.0,222,201604,121.4499940063483,25.17732896663559,4246.4584342989565,3.899249281768501,3
A6510-040-00,A6510-36-008,新北市,淡水區,幸福里,165,0.0,2.0,0.0,7735.0,0.0,435,201604,121.44595260188939,25.169298431122815,5132.594419017264,1.5070351110035727,3
A6510-041-00,A6510-28-006,新北市,淡水區,學府里,257,0.0,3.0,0.0,31125.0,0.0,409,201604,121.45273045378809,25.173416089520174,7222.966485532241,4.30917131656973,3
A6510-042-00,A6510-10-005,新北市,淡水區,大庄里,154,0.0,2.0,0.0,6837.0,0.0,403,201604,121.42312537681208,25.18306100002253,4882.658628455691,1.400261726296937,3
A6511-003-00,A6511-32-010,新北市,汐止區,智慧里,125,0.0,1.0,0.0,6280.0,0.0,264,201604,121.65372746220388,25.066268430398324,4223.736998793359,1.486834999857727,5
A6511-003-00,A6511-41-007,新北市,汐止區,智慧里,125,0.0,1.0,0.0,5696.0,0.0,305,201604,121.65351223070925,25.0664922705636,4223.736998793359,1.3485688151575816,5
A6511-004-00,A6511-26-008,新北市,汐止區,信望里,146,0.0,1.0,0.0,7782.0,0.0,316,201604,121.66192086593742,25.06930515205516,4700.887144410908,1.6554322111843,5
A6511-005-00,A6511-15-002,新北市,汐止區,橋東里,172,0.0,1.0,0.0,6650.0,0.0,410,201604,121.66507549791672,25.074873457909987,5291.644467556447,1.2566981853697379,5
A6511-005-00,A6511-17-005,新北市,汐止區,橋東里,142,0.0,1.0,0.0,6977.0,0.0,369,201604,121.66484908764149,25.07048481230667,4610.001402388518,1.5134485634614125,5
A6511-007-00,A6511-40-002,新北市,汐止區,新昌里,135,0.0,1.0,0.0,7104.0,0.0,319,201604,121.66297642257788,25.06803549019936,4450.951353849335,1.5960632761929017,5
A6511-008-00,A6511-46-016,新北市,汐止區,復興里,71,55.0,1.0,0.0,73245.5,0.0,143,201604,121.64661019309388,25.061422433901342,4049.458199953966,18.087728378288396,1
A6511-008-00,A6511-51-006,新北市,汐止區,復興里,82,0.0,1.0,0.0,4470.0,0.0,187,201604,121.6551779727168,25.06364540103309,3246.715272052661,1.3767761030593684,5
A6511-014-00,A6511-06-008,新北市,汐止區,江北里,189,0.0,2.0,0.0,7655.0,0.0,466,201604,121.64960052167697,25.077766311451654,5677.908871151607,1.3482076189869168,3
A6511-014-00,A6511-46-001,新北市,汐止區,江北里,240,0.0,1.0,0.0,9640.0,0.0,588,201604,121.6526923412061,25.072897302265847,6836.702081937085,1.4100365767684058,5
A6511-018-00,A6511-60-013,新北市,汐止區,樟樹里,122,76.0,1.0,0.0,14242.0,0.0,272,201604,121.63703353971003,25.05759618869961,5610.183285061603,2.5385979880412437,1
A6511-020-00,A6511-30-001,新北市,汐止區,北山里,139,138.0,1.0,0.0,25192.0,0.0,349,201604,121.62254104519923,25.068922611899936,7183.103698560342,3.5071190751497925,1
A6511-026-00,A6511-39-005,新北市,汐止區,中興里,99,0.0,1.0,0.0,5452.0,0.0,240,201604,121.63166111321904,25.066032930080862,3632.9796756478213,1.50069653198041,5
A6511-026-00,A6511-39-006,新北市,汐止區,中興里,305,0.0,1.0,0.0,10498.0,0.0,568,201604,121.63357975846881,25.06599584322077,8313.59538980093,1.2627508926978674,5
A6511-026-00,A6511-39-012,新北市,汐止區,中興里,98,1.0,1.0,0.0,6032.0,0.0,253,201604,121.63266108439231,25.06496918075492,3629.3978532051847,1.6619836799300014,5
A6511-026-00,A6511-44-006,新北市,汐止區,中興里,159,0.0,1.0,0.0,7705.0,0.0,340,201604,121.63056722014647,25.06540320995157,4996.265805983678,1.5421517387590271,5
